generation,N_shifts,logPrior,logLik,eventRate,acceptRate
713000000,109,866.364,-516.219,102.566,0.226
713050000,137,1075.82,-451.215,130.452,0.25
713100000,115,894.507,-512.885,99.1768,0.241
713150000,137,1118.11,-460.222,123.249,0.229
713200000,158,1253.35,-475.234,150.61,0.23
713250000,125,995.236,-459.072,119.072,0.216
713300000,129,1031.16,-458.027,108.302,0.238
713350000,125,1004.42,-506.876,110.976,0.235
713400000,131,1019.04,-481.646,120.73,0.254
713450000,153,1221.78,-520.751,134.008,0.243
713500000,145,1140.05,-485.68,140.101,0.245
713550000,113,897.204,-441.553,96.915,0.21
713600000,126,1015.33,-432.665,139.439,0.239
713650000,160,1298.3,-541.979,142.944,0.258
713700000,110,882.625,-491.581,95.9316,0.229
713750000,99,795.888,-563.94,101.083,0.271
713800000,135,1061.13,-591.341,125.153,0.252
713850000,121,960.845,-521.222,104.718,0.232
713900000,134,1049.13,-565.01,111.598,0.239
713950000,112,885.259,-638.401,120.582,0.218
714000000,120,935.689,-539.392,117.222,0.268
714050000,107,854.01,-587.096,104.857,0.25
714100000,124,983.027,-629.24,103.94,0.228
714150000,121,975.091,-617.476,109.297,0.249
714200000,100,811.861,-642.567,92.74,0.243
714250000,117,932.719,-514.491,109.288,0.25
714300000,111,885.145,-538.771,110.589,0.228
714350000,126,981.581,-469.588,103.885,0.26
714400000,112,879.148,-458.561,93.428,0.259
714450000,133,1085.72,-493.293,105.337,0.249
714500000,133,1065.89,-517.228,120.774,0.222
714550000,140,1112.52,-505.682,115.345,0.232
714600000,153,1237.5,-509.555,157.244,0.237
714650000,155,1255.6,-501.013,137.619,0.245
714700000,185,1474.7,-511.079,161.531,0.243
714750000,174,1395.22,-483.441,169.347,0.246
714800000,154,1228.5,-563.211,125.912,0.225
714850000,149,1189.41,-499.618,135.976,0.227
714900000,169,1352.4,-509.69,140.864,0.233
714950000,159,1268.98,-421.485,161.893,0.231
715000000,145,1165.39,-464.38,104.166,0.227
715050000,117,942.367,-453.001,106.131,0.247
715100000,142,1139.67,-568.259,133.524,0.238
715150000,146,1167.79,-516.978,142.189,0.217
715200000,136,1074.85,-439.053,121.859,0.246
715250000,151,1219.44,-463.841,133.981,0.234
715300000,150,1197.2,-465.182,145.94,0.237
715350000,152,1210.99,-529.44,134.496,0.227
715400000,132,1065.78,-518.337,122.574,0.266
715450000,155,1246.98,-582.894,164.478,0.244
715500000,132,1056.99,-558.143,120.903,0.244
715550000,90,717.335,-503.828,72.2446,0.239
715600000,119,961.879,-554.245,109.084,0.225
715650000,108,872.745,-571.652,106.423,0.237
715700000,125,988.491,-597.364,121.488,0.239
715750000,140,1144.15,-589.199,119.823,0.237
715800000,132,1060.12,-549.944,118.838,0.233
715850000,126,1018.52,-544.256,112.157,0.238
715900000,142,1115.68,-505.883,130.695,0.249
715950000,129,1031.67,-551.518,102.865,0.244
716000000,132,1052.63,-521.698,129.838,0.254
716050000,116,909.411,-520.934,111.848,0.228
716100000,159,1252.99,-554.799,137.113,0.253
716150000,127,1016.15,-512.226,104.587,0.242
716200000,102,829.56,-519.295,103.667,0.24
716250000,129,1046.84,-544.528,111.477,0.237
716300000,96,777.868,-598.227,89.2482,0.242
716350000,114,935.962,-522.334,99.6698,0.226
716400000,141,1166.31,-511.409,135.839,0.226
716450000,144,1161.59,-492.281,128.32,0.234
716500000,155,1252.07,-521.145,154.317,0.235
716550000,147,1209.35,-524.173,128.367,0.245
716600000,149,1220.42,-513.522,139.332,0.227
716650000,145,1176.17,-487.827,132.073,0.241
716700000,153,1233.37,-555.311,120.096,0.215
716750000,144,1169.34,-453.416,119.925,0.227
716800000,130,1066.43,-488.476,114.596,0.238
716850000,113,909.06,-509.908,94.768,0.241
