generation,rank_1,rank_2,swapAccepted
354000,2,4,0
355000,1,4,0
356000,1,4,0
357000,3,4,0
358000,2,3,0
359000,1,2,0
360000,1,4,0
361000,2,3,0
362000,1,4,0
363000,3,4,0
364000,1,2,0
365000,1,2,0
366000,3,4,0
367000,2,3,0
368000,1,3,0
369000,1,3,0
370000,1,4,0
371000,2,3,0
372000,1,3,0
373000,2,3,0
374000,1,4,0
375000,3,4,0
376000,1,3,0
377000,3,4,0
378000,1,3,0
379000,3,4,0
380000,2,3,0
381000,1,2,0
382000,1,3,0
383000,2,4,0
384000,1,2,0
385000,2,4,0
386000,2,4,0
387000,3,4,0
388000,1,4,0
389000,3,4,0
390000,2,3,0
391000,1,4,0
392000,2,4,0
393000,1,2,0
394000,3,4,0
395000,2,4,0
396000,3,4,0
397000,1,2,0
398000,2,3,0
399000,3,4,0
400000,3,4,0
401000,1,3,0
402000,2,4,0
403000,3,4,0
404000,1,3,0
405000,1,2,0
406000,2,3,0
407000,2,3,0
408000,2,4,0
409000,2,3,0
410000,1,4,0
411000,1,3,0
412000,1,3,0
413000,1,2,0
414000,1,4,0
415000,3,4,0
416000,3,4,0
417000,1,2,0
418000,3,4,0
419000,1,2,0
420000,2,3,0
421000,2,3,0
422000,2,4,0
423000,2,3,0
424000,1,2,0
425000,3,4,0
426000,1,4,0
427000,1,3,0
428000,2,4,0
429000,3,4,0
430000,1,4,0
431000,1,3,0
432000,2,3,0
433000,1,3,0
434000,1,3,0
435000,1,4,0
436000,3,4,0
437000,2,3,0
438000,2,4,0
439000,2,4,0
440000,1,4,0
441000,2,4,0
442000,1,3,0
443000,1,4,0
444000,1,2,0
445000,1,4,0
446000,2,4,0
447000,1,4,0
448000,1,2,0
449000,1,3,0
450000,1,4,0
451000,2,4,0
452000,1,2,0
453000,2,4,0
454000,2,3,0
455000,1,3,0
456000,3,4,0
457000,1,3,0
458000,2,4,0
459000,2,3,0
460000,2,3,0
461000,1,3,0
462000,1,3,0
463000,1,2,0
464000,2,3,0
465000,2,4,0
466000,3,4,0
467000,3,4,0
468000,2,3,0
469000,1,2,0
470000,1,3,0
471000,1,3,0
472000,3,4,0
473000,2,3,0
474000,2,3,0
475000,2,4,0
476000,3,4,0
477000,1,3,0
478000,3,4,0
479000,1,3,0
480000,1,4,0
481000,1,4,0
482000,3,4,0
483000,2,4,0
484000,1,3,0
485000,1,3,0
486000,3,4,0
487000,2,4,0
488000,1,2,0
489000,2,3,0
490000,2,4,0
491000,1,4,0
492000,2,4,0
493000,2,3,0
494000,3,4,0
495000,2,3,0
496000,2,3,0
497000,2,3,0
498000,1,2,0
499000,1,4,0
500000,1,3,0
501000,2,4,0
502000,2,4,0
503000,1,2,0
504000,2,3,0
505000,1,2,0
506000,2,3,0
507000,2,4,0
508000,3,4,0
509000,3,4,0
510000,1,3,0
511000,2,4,0
512000,1,4,0
513000,2,4,0
514000,2,3,0
515000,2,4,0
516000,2,4,0
517000,1,4,0
518000,2,3,0
519000,2,3,0
520000,2,3,0
521000,1,4,0
522000,3,4,0
523000,2,4,0
524000,3,4,0
525000,2,4,0
526000,3,4,0
527000,1,3,0
528000,2,4,0
529000,1,4,0
530000,1,2,0
531000,2,3,0
532000,1,4,0
533000,2,4,0
534000,1,2,0
535000,3,4,0
