generation,N_shifts,logPrior,logLik,eventRate,acceptRate
109800000,118,942.699,-417.717,111.348,0.241
109850000,179,1452.55,-411.806,170.253,0.243
109900000,134,1083.62,-367.803,132.998,0.23
109950000,180,1461.31,-425.586,171.325,0.228
110000000,162,1318.52,-426.963,153.7,0.245
110050000,164,1318.7,-382.791,147.875,0.236
110100000,156,1245.12,-388.033,142.011,0.247
110150000,138,1118.18,-480.104,109.992,0.206
110200000,171,1401.91,-499.561,134.455,0.209
110250000,172,1398.64,-532.47,144.485,0.235
110300000,156,1249.51,-340.542,146.862,0.215
110350000,156,1251.54,-357.183,148.913,0.228
110400000,154,1224.61,-313.325,150.177,0.214
110450000,148,1205.61,-344.835,142.024,0.223
110500000,142,1115.95,-371.671,128.888,0.235
110550000,149,1204.29,-420.659,123.675,0.22
110600000,154,1225.64,-475.949,131.68,0.239
110650000,153,1252.54,-397.732,145.462,0.216
110700000,135,1079.18,-384.737,134.486,0.224
110750000,102,818.951,-470.404,106.883,0.236
110800000,132,1078.96,-442.67,146.071,0.219
110850000,124,995.582,-463.728,112.477,0.259
110900000,144,1159.45,-400.174,129.536,0.225
110950000,113,898.04,-435.391,99.9514,0.22
111000000,105,814.385,-489.334,101.76,0.227
111050000,115,897.574,-504.057,96.7772,0.241
111100000,110,856.592,-397.622,114.393,0.222
111150000,130,1056.53,-539.106,113.481,0.249
111200000,151,1227.32,-569.253,138.156,0.236
111250000,157,1254.57,-527.808,155.963,0.266
111300000,136,1097.62,-473.139,103.791,0.215
111350000,155,1233.59,-514.694,145.205,0.249
111400000,150,1209.72,-474.866,151.879,0.231
111450000,137,1085.85,-432.374,108.507,0.258
111500000,147,1190.48,-437.241,133.117,0.246
111550000,128,1015.16,-401.726,139.89,0.222
111600000,172,1383.48,-394.877,171.189,0.239
111650000,162,1304.66,-426.954,149.976,0.186
111700000,178,1434.98,-405.871,176.356,0.236
111750000,144,1174.4,-504.021,118.931,0.249
111800000,138,1118.28,-431.969,126.613,0.251
111850000,165,1322.74,-460.678,151.914,0.22
111900000,167,1328.44,-437.235,171.196,0.232
111950000,154,1235.22,-392.193,143.374,0.245
112000000,151,1184.33,-369.422,134.495,0.221
112050000,173,1399.99,-404.736,154.701,0.239
112100000,140,1146.6,-442.571,114.102,0.2
112150000,167,1322.15,-470.514,161.621,0.234
112200000,146,1167.16,-394.233,141.129,0.216
112250000,173,1376.67,-451.806,151.248,0.219
112300000,212,1712.43,-432.472,199.167,0.251
112350000,144,1168.45,-402.172,139.229,0.225
112400000,164,1335.4,-359.644,149.827,0.213
112450000,175,1414.11,-398.783,153.704,0.241
112500000,178,1424.68,-473.143,151.015,0.26
112550000,179,1429.19,-497.591,170.713,0.253
112600000,163,1320.18,-424.206,139.412,0.231
112650000,128,1025.72,-424.798,115.395,0.206
112700000,124,992.064,-440.153,106.277,0.222
112750000,139,1117.28,-476.55,125.982,0.246
112800000,144,1139.5,-531.323,129.353,0.244
112850000,147,1165,-464.73,121.16,0.235
112900000,149,1184.68,-490.784,133.128,0.235
112950000,146,1159.83,-441.953,138.921,0.217
113000000,180,1465.36,-425.056,163.976,0.227
113050000,134,1062.17,-389.348,114.001,0.246
113100000,146,1152.48,-462.522,141.801,0.212
113150000,136,1065.44,-441.597,114.53,0.227
113200000,137,1085.35,-467.92,138.318,0.217
113250000,157,1261.57,-438.918,128.174,0.205
113300000,147,1198.67,-397.952,150.927,0.205
113350000,170,1377.57,-463.753,149.552,0.218
