ID	publication	order	genus	species	subspecies	single_on	mean_on	deviation_on	minimum_on	maximum_on	n	max_reported_internal_diff	condition	problem	data_notes	text_notes
1	genc2004artificial	Lepidoptera	Phyciodes	phaon		8									four ovarioles in each of two ovaries	four ovarioles in each of two ovaries
3	hodin2000different	Diptera	Drosophila	melanogaster			21.3	0.6					Capitol Hill full food			
4	hodin2000different	Diptera	Drosophila	melanogaster			18.6	0.5					Nahal			
5	hodin2000different	Diptera	Drosophila	simulans			15.5	0.5					st			
6	hodin2000different	Diptera	Drosophila	melanogaster			18.9	0.3					Honduras			
7	hodin2000different	Diptera	Drosophila	mauritiana			12.9	0.5								
8	hodin2000different	Diptera	Drosophila	sechellia			8.5	0.2								
9	hodin2000different	Diptera	Drosophila	yakuba			12.9	0.2								
15	ueno1994comparative	Hymenoptera	Pimpla	nipponica			12.1	1			64					
16	ueno1994comparative	Hymenoptera	Pimpla	alboannulata			10.8	1.4			12					
17	ueno1994comparative	Hymenoptera	Pimpla	pluto			10.7	1.2			13					
18	ueno1994comparative	Hymenoptera	Pimpla	luctuosa			12.7	2.1			41					
19	ueno1994comparative	Hymenoptera	Itoplectis	naranyae			17.2	3.4			42					
20	ueno1994comparative	Hymenoptera	Itoplectis	alternans	spectabilis		16	2.6			20					
21	ware2008effects	Coleoptera	Harmonia	axyridis		31									Median values only recorded	Each ovary was examined separately, and ovarioles were counted by carefully removing and destroying each one in turn using fine mounted entomological pins. The larger of the two ovariole counts obtained for each individual was used in further analysis
22	ware2008effects	Coleoptera	Adalia	bipunctata		24									Median values only recorded	Each ovary was examined separately, and ovarioles were counted by carefully removing and destroying each one in turn using fine mounted entomological pins. The larger of the two ovariole counts obtained for each individual was used in further analysis
23	hill2002phylogenetic	Lepidoptera	Panacea	bleuzeni		8									counted from drawing	
24	hill2002phylogenetic	Lepidoptera	Batesia	hypochlora		49									counted from drawing, larger number plus or minus 1, 23 in bottom, 26 in top	
25	mazurkiewicz2010differentiation	Lepidoptera	Pieris	napi		8										
26	mazurkiewicz2010differentiation	Lepidoptera	Melitaea	athalia		8										
27	ziegler2006lipid	Lepidoptera	Manduca	sexta		16										In M. sexta, each ovary contains 8 ovarioles with a large number of oocytes, which continuously mature by incorporating lipids and proteins
28	hodin2000plasticity	Diptera	Drosophila	melanogaster					32	46						the mean ovariole number varies among populations of D. melanogaster from 16 to 23 per ovary
29	hodin2000plasticity	Diptera	Drosophila	sechellia					16	18						the most derived member of the species (Caccone et al., '96), the island species D. schellia has only 8-9 ovarioles per ovary
30	makert2006ovariole	Hymenoptera	Apis	mellifera					4	24			workers raised away from queen	worker		
31	sadeghi2002relationship	Diptera	Syrphus	ribesii					61	120						
32	tanton1984effects	Coleoptera	Paropsis	atomaria					58	66	122					Dissection of dead mated and virgin females from treatments on 23 February 1976 (n= 122) indicated that neither DDT nor fenitrothion affected the number of ovarioles (29-33 per ovary)
33	dunlap1977ovarian	Lepidoptera	Heliconius			8										
34	dunlap1977ovarian	Lepidoptera	Dryas			8										ovarian morphology conforms to details for other lepidoptera
35	stay1965protein	Lepidoptera	Hyalophora	cecropia		8										
36	konagaya2015estimates	Lepidoptera	Battus	philenor		8										We counted the number of mature eggs and submature eggs directly. The number of immature eggs in one ovariole was counted. Because every female has 8 ovarioles, the number of immature eggs estimated as 8 times the number of immature eggs in one ovariole
37	odendaal1989mature	Lepidoptera	Battus	philenor		8										Like other butterflies, Battus philenor typically has eight ovarioles
38	kobayashi1994ovarian	Lepidoptera	Neomicropteryx	nipponensis		10										five ovarioles per ovary are presumed to be common to the Micropterigidae or the suborder Zeugloptera
39	kobayashi1994ovarian	Lepidoptera	Micropterix	calthella		10										The ovariole number in each of the paired ovaries of N. nipponensis is five as in the case of another zeuglopteran Micropterix calthella
40	kobayashi1994ovarian	Lepidoptera	Hepialus						10	11						
41	kobayashi1994ovarian	Lepidoptera	Nemophera						22	24						
42	kobayashi1994ovarian	Lepidoptera	Adela						22	24						
43	kobayashi1994ovarian	Lepidoptera	Stigmella			8										
44	kobayashi1994ovarian	Lepidoptera	Agathiphaga			90										45 ovarioles per ovary (Kristensen, 1984)
45	fitt1990comparative	Diptera	Dacus	jarvisi			19.7	0.37					pupal size: <9			
46	fitt1990comparative	Diptera	Dacus	jarvisi			22.2	0.13					pupal size: 10-12			
47	fitt1990comparative	Diptera	Dacus	jarvisi			25.3	0.47					pupal size: 13-15			
48	fitt1990comparative	Diptera	Dacus	jarvisi			24.3	0.73					pupal size: >16			
49	fitt1990comparative	Diptera	Dacus	tryoni			28	1.33					pupal size: <8			
50	fitt1990comparative	Diptera	Dacus	tryoni			38.1	1.16					pupal size: 9-11			
51	fitt1990comparative	Diptera	Dacus	tryoni			38.5	0.65					pupal size: 12-14			
52	srinivasaeffect	Lepidoptera	Papilio	demoleus		8										
53	watanabe1988multiple	Lepidoptera	Papilio	xuthus		8										The total number of immature eggs was estimated by multiplying the number in one ovariole by eight, the number of ovarioles
54	wiktelius1985ovariole	Hemiptera	Rhopalosiphum	padi					12	18						
55	eidmann1929morphologische	Lepidoptera	Psyche	helix		12										
56	eidmann1929morphologische	Lepidoptera	Nematois	metallicus					24	40						
57	eidmann1929morphologische	Lepidoptera	Papilio	machaon		8										
58	eidmann1929morphologische	Lepidoptera	Thais	polyxena		8										
59	eidmann1929morphologische	Lepidoptera	Aporia	crataegi		8									does not specifically mention number, but would have described if they differed from 8	
60	eidmann1929morphologische	Lepidoptera	Sphinx	pinastri		8									does not specifically mention number, but would have described if they differed from 8	
61	eidmann1929morphologische	Lepidoptera	Dicranura	vinula		8									does not specifically mention number, but would have described if they differed from 8	
62	eidmann1929morphologische	Lepidoptera	Daychira	pudibunda		8									does not specifically mention number, but would have described if they differed from 8	
63	eidmann1929morphologische	Lepidoptera	Stilpnotia	salicis		8									does not specifically mention number, but would have described if they differed from 8	
64	eidmann1929morphologische	Lepidoptera	Lymantria	monacha		8									does not specifically mention number, but would have described if they differed from 8	
65	eidmann1929morphologische	Lepidoptera	Dendrolimus	pini		8										
66	eidmann1929morphologische	Lepidoptera	Aglia	tau		8										
67	eidmann1929morphologische	Lepidoptera	Acronicta	aceris		8									does not specifically mention number, but would have described if they differed from 8	
68	eidmann1929morphologische	Lepidoptera	Panolis	piniperda		8										
69	eidmann1929morphologische	Lepidoptera	Bupalus	piniarius		8									does not specifically mention number, but would have described if they differed from 8	
70	hodin2009she	Hymenoptera	Apis	andreniformis					36	52						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
71	hodin2009she	Hymenoptera	Apis	mellifera	carnica				292	408						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
72	hodin2009she	Hymenoptera	Apis	mellifera	caucasica				338	362						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
73	hodin2009she	Hymenoptera	Apis	mellifera	lingustica				310	380						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
74	hodin2009she	Hymenoptera	Apis	mellifera	mellifera				254	366						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
75	hodin2009she	Hymenoptera	Apis	mellifera	scutellata				272	298						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
76	hodin2009she	Hymenoptera	Apis	mellifera	capensis				254	302						Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
77	hodin2009she	Hymenoptera	Apis	cerana		73							queen			Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
78	hodin2009she	Hymenoptera	Apis	dorsata		130							queen			Indicated are mean numbers of ovarioles per ovary (reported ranges in parentheses)
79	hodin2009she	Coleoptera	Tribolium	castaneum		8										Beetles that oviposit on dependable resources of borderline nutritional value (k-selected taxa, such as the flour beetle Tribolium castaneum) have few ovarioles (4 ovarioles per ovary)
80	hodin2009she	Coleoptera	Aphodius	fossor		14										Non-nesting dung beetles (Coleoptera: Scarabeidae) of the subfamily Aphodiinae have multiple ovarioles per ovary (seven, for example, in Aphodius fossor)
81	hodin2009she	Coleoptera	Meloe	proscarabeaus		2000										Less well known is their massive reproductive potential: Meloe proscarabaeus is reported to have approximately 1000 ovarioles per ovary (Büning 1994)
82	hodin2009she	Trichoptera	Parasthenopsyche	sauteri		260										The caddis flies (order Trichoptera) are widely accepted as the sister group to the Lepidoptera (e.g. Kristensen 1984; Wheeler et al. 2001). Since the net-spinning caddis fly Parasthenopsyche sauteri has approximately 130 ovarioles per ovary (Matsuzaki 1972), caddis flies do not appear to be similarly constrained
83	hodin2009she	Orthoptera	Romalea	microptera		65										Lubber grasshoppers, Romalea microptera (=guttata) (Orthoptera: Acrididae), eclose as adults with immature ovaries, containing only early-stage öocytes in each of its ~ 65 ovarioles
84	hodin2009she	Diptera	Anastrepha	ludens					22	25						A. ludens are larger in size than A. obliqua, and have fewer ovarioles (22–25 vs. 30–33) (F. Díaz-Fleischer, personal communication)
85	hodin2009she	Diptera	Anastrepha	obliqua					30	33						A. ludens are larger in size than A. obliqua, and have fewer ovarioles (22–25 vs. 30–33) (F. Díaz-Fleischer, personal communication)
86	oberhauser1997fecundity	Lepidoptera	Danaus	plexippus		8										The mature oocytes in the most intact ovariole were counted, and this number multiplied by eight (the total number of ovarioles) to estimate the total number of oocytes
87	stewart1991reproductive	Coleoptera	Adalia	decempunctata		20										On the other hand, the relatively small Adalia 10-punctata, is equally specialized in being mainly associated with oak trees, has relatively few ovarioles (20) and lays relatively large eggs
88	tanaka1989developmental	Lepidoptera	Parnassius	glacialis		8										Each ovary is composed of four egg tubes which are the polytrophic rneroistic ovarioles, roughly 9 mm long from the tip of the terminal filamentto the pedicel,
89	sands1980new	Lepidoptera	Lucia	limbaria		8										The abdomens of freshly emerged females of L. limbaria, A. illidgei and A. myrmecophila are proportionally larger than is usual for Lycaenidae, and dissection revealed the eight ovarioles to be filled with a large number of fully developed eggs
90	sands1980new	Lepidoptera	Acrodipsas	illidgei		8										The abdomens of freshly emerged females of L. limbaria, A. illidgei and A. myrmecophila are proportionally larger than is usual for Lycaenidae, and dissection revealed the eight ovarioles to be filled with a large number of fully developed eggs
91	sands1980new	Lepidoptera	Acrodipsas	melania		8										
92	sands1980new	Lepidoptera	Acrodipsas	myrmecophila		8										The abdomens of freshly emerged females of L. limbaria, A. illidgei and A. myrmecophila are proportionally larger than is usual for Lycaenidae, and dissection revealed the eight ovarioles to be filled with a large number of fully developed eggs
93	sands1980new	Lepidoptera	Acrodipsas	hirtipes		8										
94	sands1980new	Lepidoptera	Acrodipsas	brisbanensis	brisbanensis	8										
95	sands1980new	Lepidoptera	Acrodipsas	cuprea		8										
96	sands1980new	Lepidoptera	Pseudodipsas	eole	iole	8										
97	stadler1999ant	Hemiptera	Aphis	fabae	cirsiiacanthoides		11.72	0.47			97		attended 			The average life-history characteristics over three generations for A. f. cirsiiacanthoides and over two generations for S. oblongus reared on C. arvense and B. pendula, respectively, while attended (+) or unattended (±) byL. niger. Values are means SD;n= total number ofindividuals. This one was attended, n= 97
98	stadler1999ant	Hemiptera	Aphis	fabae	cirsiiacanthoides		11.83	0.4			96		unattended 			The average life-history characteristics over three generations forA. f. cirsiiacanthoidesand over two generations forS. oblongusreared onC. arvense and B. pendula, respectively, while attended (+) or unattended (±) byL. niger. Values are means SD;n= total number ofindividuals. This one was unattended, n= 96
99	stadler1999ant	Hemiptera	Symydobius	oblongus			8	0			59		attended 			The average life-history characteristics over three generations forA. f. cirsiiacanthoidesand over two generations forS. oblongusreared onC. arvense and B. pendula, respectively, while attended (+) or unattended (±) byL. niger. Values are means SD;n= total number ofindividuals. This one was attended, n= 59
100	stadler1999ant	Hemiptera	Symydobius	oblongus			8	0			67		unattended 			The average life-history characteristics over three generations forA. f. cirsiiacanthoidesand over two generations forS. oblongusreared onC. arvense and B. pendula, respectively, while attended (+) or unattended (±) byL. niger. Values are means SD;n= total number ofindividuals. This one was unattended, n= 67
101	koi2015new	Lepidoptera	Eumaeus	atala		6										Females had 6 ovarioles, and eggs from the same female often varied in size. Newly emerged females from a controled setting
102	cox1999first	Coleoptera	Aulacoscelis	appendiculata		70										The ovariole number of an individual dissected female was 70 ( 36 left, 34 right)
103	svensson1987sex	Diptera	Empis	borealis					42	112						The developing eggs observed in each ovariole was four to five and the number of ovarioles ranged from 42 to 112
104	trl1975karyotypes	Lepidoptera	Pieris	brassicae		8										This is also important for the P. icarus testes which arerelatively small and, unlike those of many other Lepidoptera, do not differ in colourfrom the other contents of the abdomen. The testes of P. brassicae and P. napiare dark red. The eight ovarioles were pulled out straight and the proximal 6-8 mm cut off. Subsequent treatment was the same for both male and female tissue
105	trl1975karyotypes	Lepidoptera	Pieris	napi		8										This is also important for the P. icarus testes which arerelatively small and, unlike those of many other Lepidoptera, do not differ in colourfrom the other contents of the abdomen. The testes of P. brassicae and P. napiare dark red. The eight ovarioles were pulled out straight and the proximal 6-8 mm cut off. Subsequent treatment was the same for both male and female tissue
106	trl1975karyotypes	Lepidoptera	Polymmatus	icarus		8										This is also important for the P. icarus testes which arerelatively small and, unlike those of many other Lepidoptera, do not differ in colourfrom the other contents of the abdomen. The testes of P. brassicae and P. napiare dark red. The eight ovarioles were pulled out straight and the proximal 6-8 mm cut off. Subsequent treatment was the same for both male and female tissue
107	andrade2012oogenesis	Hymenoptera	Palmisthicus	elaeisis		8										The ovaries of all females of P. elaeisis under analysis were similar to those of other Hymenoptera with a pair of ovaries with four ovarioles/ovary
108	lisboa2005effect	Hymenoptera	Trigona	spinipes					22	28						Table 1. Ovariole number in stingless bee Trigona spinipes during different developmental stages in relation the amount of larval food
109	mizumoto2007egg	Lepidoptera	Paranara	guttata	guttata	8										Three or four eggs had already matured in each of eight ovarioles when the female was fertile and had mated, and these were arranged in the lower part of the ovarioles (Fig. 4)
110	capman2017natural	Lepidoptera	Pholisora	catullus		8										Four ovarioles occurred in each of two ovaries
111	taylor2010test	Diptera	Glossina	morsitans		4										all female Glossina morsitans tsetse flies have exactly four,
112	taylor2010test	Orthoptera	Romalea	microptera			66.9	1.3								In the maternal generation, ovariole numbers were slightly but significantly higher in the high-food animals (mean±SE: high=66.9±1.3; low=63.1±0.99) (χ2=5.23;P=0.022; Fig. 1)
113	gerber1971anatomy	Coleoptera	Lytta	nuttali					252	429						The total numbers of ovarioles in six randomly selected females were 252, 255, 281, 289, 386, and 429
114	bugnion1909cissites	Coleoptera	Cissites	testaceus		500										
115	jenner2003european	Hymenoptera	Campoplex	dubitator					22	56	18					Each ovary consists of several ovarioles, ranging in number from 11 to 28 (mean = 18)
116	griffith1986ovaries	Lepidoptera	Calpodes	ethlius		8										Each ovary comprises four ovarioles
118	obata1988mating	Coleoptera	Harmonia	axyridis					60	78						Each ovary is com- posed of about thirty (twenty-seven to thirty- nine; Robertson, 1961) ovarioles, and their development is not always synchronized but ranges at most within two grades in Fig. 1
119	parkash2008climatic	Diptera	Drosophila	melanogaster			42	1.25					Highland Wild Dark 			
120	parkash2008climatic	Diptera	Drosophila	melanogaster			38.6	1.09					Lab 25C Dark 			
121	parkash2008climatic	Diptera	Drosophila	melanogaster			42.5	1.25					Highland Wild Light 			
122	parkash2008climatic	Diptera	Drosophila	melanogaster			39.2	1.05					Lab 25C Light 			
123	parkash2008climatic	Diptera	Drosophila	melanogaster			37	1.18					Lowland Wild Dark			
124	parkash2008climatic	Diptera	Drosophila	melanogaster			36.5	0.99					Lab 25C Dark 			
125	parkash2008climatic	Diptera	Drosophila	melanogaster			36.55	1.17					Lowland Wild Light			
126	parkash2008climatic	Diptera	Drosophila	melanogaster			35.9	0.99					Lab 25C Light 			
128	mazurkiewicz2019differentiation	Lepidoptera	Pieris	napi		8										Each of the paired ovaries of Pieris napi is composed of four long ovarioles of meroistic polytrophic type (Fig.1a)
129	yel2000anatomic	Lepidoptera	Pieris	rapae		8										Each ovary is composed of 4 types of polytrophic ovarioles
130	schultner2012development	Orthoptera	Stethophyma	grossum		20										Larger species like Stethophyma grossum L. 1758 with body weights of 860 mg count a mean of 20 ovarioles
131	schultner2012development	Orthoptera	Arcryptera	brevipennis	vicheti		18	1								600mg of weight: A. b. vicheti females with mature weights of 600 mg and 16–18 ovarioles fall well into these ranges
132	cao2012anatomy	Lepidoptera	Pieris	melete	menetries	8										The ovary is unsymmetrical: 4 ovarioles jointed directly on one side, while on the other side, the two adjacent ovarioles linked separately, and these two connected with the lateral oviduct
133	llorente2018chorionic	Lepidoptera	Leptidea	sinapis	sinapis	8									ovariole number mentioned as the same for all species in introduction	
134	llorente2018chorionic	Lepidoptera	Leptidea	amurensis	japona	8									ovariole number mentioned as the same for all species in introduction	
135	llorente2018chorionic	Lepidoptera	Pseudopieris	nehemia	nehemia	8									ovariole number mentioned as the same for all species in introduction	
136	llorente2018chorionic	Lepidoptera	Pseudopieris			8									ovariole number mentioned as the same for all species in introduction	
137	llorente2018chorionic	Lepidoptera	Enantia	limnorina		8									ovariole number mentioned as the same for all species in introduction	
138	llorente2018chorionic	Lepidoptera	Enantia	albania	albania	8									ovariole number mentioned as the same for all species in introduction	
139	llorente2018chorionic	Lepidoptera	Enantia	albania	nuria	8									ovariole number mentioned as the same for all species in introduction	
140	llorente2018chorionic	Lepidoptera	Enantia	jethys		8									ovariole number mentioned as the same for all species in introduction	
141	llorente2018chorionic	Lepidoptera	Enantia	mazai	mazai	8									ovariole number mentioned as the same for all species in introduction	
142	llorente2018chorionic	Lepidoptera	Enantia	mazai	diazi	8									ovariole number mentioned as the same for all species in introduction	
143	llorente2018chorionic	Lepidoptera	Enantia	clarissa		8									ovariole number mentioned as the same for all species in introduction	
144	llorente2018chorionic	Lepidoptera	Lieinix	nemesis	nemesis	8									ovariole number mentioned as the same for all species in introduction	
145	llorente2018chorionic	Lepidoptera	Lieinix	nemesis	atthis	8									ovariole number mentioned as the same for all species in introduction	
146	llorente2018chorionic	Lepidoptera	Lieinix	nemesis	nayaritensis	8									ovariole number mentioned as the same for all species in introduction	
147	llorente2018chorionic	Lepidoptera	Dismorphia	altis	altis	8									ovariole number mentioned as the same for all species in introduction	
148	llorente2018chorionic	Lepidoptera	Dismorphia	amphione	beroe	8									ovariole number mentioned as the same for all species in introduction	
149	llorente2018chorionic	Lepidoptera	Dismorphia	amphione	isolda	8									ovariole number mentioned as the same for all species in introduction	
150	llorente2018chorionic	Lepidoptera	Dismorphia	amphione	discrepans	8									ovariole number mentioned as the same for all species in introduction	
151	llorente2018chorionic	Lepidoptera	Dismorphia	amphione	praxinoe	8									ovariole number mentioned as the same for all species in introduction	
152	llorente2018chorionic	Lepidoptera	Dismorphia	arcadia		8									ovariole number mentioned as the same for all species in introduction	
153	llorente2018chorionic	Lepidoptera	Dismorphia	astyocha		8									ovariole number mentioned as the same for all species in introduction	
154	llorente2018chorionic	Lepidoptera	Dismorphia	crisia	foedora	8									ovariole number mentioned as the same for all species in introduction	
155	llorente2018chorionic	Lepidoptera	Dismorphia	crisia	interrupta	8									ovariole number mentioned as the same for all species in introduction	
156	llorente2018chorionic	Lepidoptera	Dismorphia	eunoe	eunoe	8									ovariole number mentioned as the same for all species in introduction	
157	llorente2018chorionic	Lepidoptera	Dismorphia	hippotas	diana	8									ovariole number mentioned as the same for all species in introduction	
158	llorente2018chorionic	Lepidoptera	Dismorphia	lewyi	leonora	8									ovariole number mentioned as the same for all species in introduction	
159	llorente2018chorionic	Lepidoptera	Dismorphia	lysis	lysis	8									ovariole number mentioned as the same for all species in introduction	
160	llorente2018chorionic	Lepidoptera	Dismorphia	medora	reducta	8									ovariole number mentioned as the same for all species in introduction	
161	llorente2018chorionic	Lepidoptera	Dismorphia	mirandola	discoloria	8									ovariole number mentioned as the same for all species in introduction	
162	llorente2018chorionic	Lepidoptera	Dismorphia	teresa		8									ovariole number mentioned as the same for all species in introduction	
163	llorente2018chorionic	Lepidoptera	Dismorphia	theucharila	avonia	8									ovariole number mentioned as the same for all species in introduction	
164	llorente2018chorionic	Lepidoptera	Dismorphia	theucharila	leuconoe	8									ovariole number mentioned as the same for all species in introduction	
165	llorente2018chorionic	Lepidoptera	Dismorphia	zaela	zaela	8									ovariole number mentioned as the same for all species in introduction	
166	llorente2018chorionic	Lepidoptera	Dismorphia	zathoe	zathoe	8									ovariole number mentioned as the same for all species in introduction	
167	llorente2018chorionic	Lepidoptera	Dismorphia	zathoe	othoe	8									ovariole number mentioned as the same for all species in introduction	
168	llorente2018chorionic	Lepidoptera	Dismorphia	zathoe		8									ovariole number mentioned as the same for all species in introduction	
169	llorente2018chorionic	Lepidoptera	Moschoneura	pinthous	patricia	8									ovariole number mentioned as the same for all species in introduction	
170	uzsak2012differential	Blattodea	Blatella	germanica		40										~40 In B. germanica, oocyte development is cyclic and interrupted by a protracted gestation. Its panoistic paired ovaries each comprise approximately 20 ovarioles, and only a single basal oocyte in each ovariole (i.e. the next to be oviposited) matures during the preoviposition period (Roth and Stay, 1962)
171	braman1991reproductive	Diptera	Chaetophlepsis	plathypenae		32										Table 1. Observed and predicted ovariole number and fecundities tor three tachinid parasitoids of the green cloverworm
172	braman1991reproductive	Diptera	Winthemia	sinuata		20										Table 1. Observed and predicted ovariole number and fecundities tor three tachinid parasitoids of the green cloverworm
173	braman1991reproductive	Diptera	Blondelia	hyphantriae		192										Table 1. Observed and predicted ovariole number and fecundities tor three tachinid parasitoids of the green cloverworm
174	braman1991reproductive	Hymenoptera	Cotesia	margivinensis		4										All three braconid species have two ovarioles per ovary
175	braman1991reproductive	Hymenoptera	Rogas	nolophanae		4										All three braconid species have two ovarioles per ovary
176	braman1991reproductive	Hymenoptera	Dioleogaster	facetosa		4										All three braconid species have two ovarioles per ovary
177	perveen2000effects	Lepidoptera	Spodoptera	litura		8										Spodoptera litura has paired ovaries that branch into four polytrophic meroistic ovarioles located on the ventral side of the body cavity, making several loops of ovarioles, with all basal oocytes developing simultaneously
178	etman1980developmental	Lepidoptera	Spodoptera	litura		8										The oviductus lateralis is 1 mm long, from its first bifurcation to the calyx where the paired ovaries each branch into four ovarioles
179	petersen1900beitrage	Lepidoptera	Adela	degeerella		24										
180	petersen1900beitrage	Lepidoptera	Adela	croesella		20										
181	petersen1900beitrage	Lepidoptera	Nemotois	metllicus					24	40						found examples of 12, 16, 18, and 20 in different specimens
182	petersen1900beitrage	Lepidoptera	Psyche	helix		12										
183	petersen1900beitrage	Lepidoptera	Sesia	scoliiformis		28									this maybe a confusion, or a repetition from a different source	
184	petersen1900beitrage	Lepidoptera	Nemophora	swammerdammella					23	24		1				12, but one specimen had 11 on one side
185	petersen1900beitrage	Lepidoptera	Ericocephala	calthella					9	10						usually had 5 but sometimes 4 on one side
186	petersen1900beitrage	Lepidoptera	Ericocephala	aruncella					9	10						usually had 5 but sometimes 4 on one side
187	petersen1900beitrage	Lepidoptera	Ericocephala	aureatella					9	10						usually had 5 but sometimes 4 on one side
188	petersen1900beitrage	Lepidoptera	Hepialus	humulis					11	12						one specimen had 5 on one side and 6 on the other
189	petersen1900beitrage	Lepidoptera	Orygia	antiqua					9	10						had 4 on one side and 5 on the other
190	petersen1900beitrage	Lepidoptera	Dyschorista	suspecta					9	10						had 4 on one side and 5 on the other
191	petersen1900beitrage	Lepidoptera	Sesia	tipuliformis		8										
192	petersen1900beitrage	Lepidoptera	Bembecia	hylaeiformis		8										
193	petersen1900beitrage	Lepidoptera	Psyche	unicolor		8										
194	petersen1900beitrage	Lepidoptera	Psyche	opacella		8										
195	petersen1900beitrage	Lepidoptera	Fumea	intermediella		8										
196	meats2004laboratory	Diptera	Bactrocera	tryoni		40										In B. tryoni, the paired ovaries consist of about 40 polytrophic ovarioles (Anderson & Lyford, 1965; Fitt, 1990)
197	danks1975seasonal	Diptera	Winthemia	rufopicta					15	49						Nevertheless, in females emerging in the field from Heliothis hosts, the mean number of ovarioles (in both ovaries) was about 32 (15-49)
198	perveen2011effects	Lepidoptera	Spodoptera	litura		8										Spodoptera litura have paired ovaries, each branched into four polytrophic meroistic ovarioles located on ventral side of body cavity, making several loops of ovarioles, with all basal oocytes developing simultaneously
199	ramaswamy1990necessity	Lepidoptera	Heliothis	virescens		8										Females were anesthetized with C02 and dissected at the specified times under 1.15% KC1 saline to count chorionated oocytes in all 8 ovarioles
200	mason1989seasonal	Lepidoptera	Pseudoplusia	includens		8										randomly selected ovarioles per female were counted, and the number obtained was doubled to obtain the number of eggs in all eight ovarioles
201	mathai1990histomorphological	Lepidoptera	Spodoptera	mauritia		8										
202	nokkala1987cytological	Lepidoptera	Sphinx	Ligustri		8										The ovary of Sphinx ligustri consists of four ovarioles
203	su2015testicular	Hymenoptera	Apis	mellifera		400								description	This record excluded from analyses as unverifiable outlier	In the honeybee Apis mellifera, an adult queen ovary contains as many as 200 ovarioles, whereas the ovary of a worker has less than 10
204	talhouk1975contributions	Lepidoptera	Eriogaster	amygdali		8										Each ovary is composed of eight ovarioles
205	kafatos2013eggshell	Lepidoptera	Hyalophora	cecropia		8										Like most Lepidoptera, the silk moths have four ovarioles in each of two ovaries
206	kafatos2013eggshell	Lepidoptera	Antheraea	polyphemus		8										Like most Lepidoptera, the silk moths have four ovarioles in each of two ovaries
207	kafatos2013eggshell	Lepidoptera	Antheraea	pernyi		8										Like most Lepidoptera, the silk moths have four ovarioles in each of two ovaries
208	kafatos2013eggshell	Lepidoptera	Bombyx	mori		8										Like most Lepidoptera, the silk moths have four ovarioles in each of two ovaries
209	togashi2005maternal	Coleoptera	Dastarcus	helophoroides					36	154						The number of ovarioles per female varied from 36 to 154 depending on maternal body length
210	togashi2005maternal	Hymenoptera	Venturia	canescens		26							largest female			Largest female In the endoparasitoid wasp Venturia canescens, the largest female (26 ovarioles) has 1.6 times as many ovarioles as the smallest female (16 ovarioles)
211	togashi2005maternal	Hymenoptera	Venturia	canescens		16							smallest female 			Smallest female In the endoparasitoid wasp Venturia canescens, the largest female (26 ovarioles) has 1.6 times as many ovarioles as the smallest female (16 ovarioles)
212	togashi2005maternal	Hymenoptera	Encarsia	formosa					6	13						Similar differences of 1.5 to 2.2-fold are observed in ovariole number of the hymenopterous parasitoid of Encarsia formosa (6 to 13 ovarioles)
213	togashi2005maternal	Coleoptera	Coccinella	septempunctata					78	114						the coccinellid beetle Coccinella septempunctata (78 to 114 ovarioles) (Dixon and Guo 1993)
214	togashi2005maternal	Diptera	Ephydra	cinerea					7	38						Great differences in ovariole number are observed in dipterians of Ephydra cinerea (7 to 38 ovarioles) (Collins 1980),
215	togashi2005maternal	Diptera	Episyrphus	balteatus					18	106						Episyrphus balteatus (18 to 106 ovarioles) (Branquart and Hemptinne 2000)
216	togashi2005maternal	Diptera	Phormia	regina					101	327						Phormia regina (101 to 327 ovarioles) (Bennettova and Fraenkel 1981)
217	togashi2005maternal	Diptera	Sarcophaga	bullata					23	116						Sarcophaga bullata (23 to 116 ovarioles) (Bennettova and Fraenkel 1981)
218	togashi2005maternal	Hymenoptera	Habrobracon	hebetor					1	4						the ectoparasitoid wasp Habrobracon hebetor (1 to 4 ovarioles) (Petters and Grosch 1977)
219	west1997screening	Hymenoptera	Dusona	contumax		16										Females had two ovaries with eight ovarioles each
220	west1997screening	Hymenoptera	Aleiodes	cf gastritor		4										Each had two ovarioles per ovary
221	west1997screening	Hymenoptera	Aleidos			4										Females had two ovarioles per ovary, with at least 30 developed or undeveloped eggs per ovariole
222	butler1985biology	Lepidoptera	Phigalia	titea		8										The four ovarioles per ovary contained the following egg numbers: 166, 164, 193, 157, 184, 185, 153, 162
223	elliott1978life	Lepidoptera	Mnesampela	privata		8										and the ovaries each contained four ovarioles with approximately 70 oocytes per ovariole
224	hernandez2017biology	Lepidoptera	Drymoea	veliterna					300	400				description	This record excluded from analyses as unverifiable outlier	The number of ovarioles per ovary is approximately 150-200 and occupy most of the abdominal cavity. The drawing is not consistent with the number listed
