ID	publication	name	updated_fullname	taxonomy_source	rank_matched	matched	score	ott_id	ncbi_id	name_source	matched_id_in_source	updated_genus	updated_genus_ott_id	updated_genus_ncbi_id	updated_species	updated_species_ott_id	updated_species_ncbi_id	updated_subspecies	ott_accepted_name	ott_version	higher_source	domain	kingdom	phylum	subphylum	superclass	class	subclass	infraclass	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	species subgroup	species group	subgenus	section	genus	subsection
1918	karlsson2007relationship	Sympetrum frequens	Sympetrum frequens	OTT	species	Sympetrum frequens	100	205218	257053	OTT	205218	Sympetrum	569013	6968	frequens	205218	257053		Sympetrum frequens	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota			Odonata	Anisoptera			Cavilabiata	Libellulidae									
1919	karlsson2007relationship	Sympetrum infuscatum	Sympetrum infuscatum	OTT	species	Sympetrum infuscatum	100	205215	257054	OTT	205215	Sympetrum	569013	6968	infuscatum	205215	257054		Sympetrum infuscatum	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota			Odonata	Anisoptera			Cavilabiata	Libellulidae									
1920	ueno1999reproduction	Pimpla nipponica	Pimpla nipponica	OTT	species	Pimpla nipponica	100	390108	67752	OTT	390108	Pimpla	390110	67751	nipponica	390108	67752		Pimpla nipponica	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Pimplinae	Pimplini							
1921	ueno1999adult	Agrothereutes lanceolatus	Agrothereutes lanceolatus	OTT	species	Agrothereutes lanceolatus	100	5037627	1905381	OTT	5037627	Agrothereutes	915224	172372	lanceolatus	5037627	1905381		Agrothereutes lanceolatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Cryptini	Agrothereutina						
1922	tripp1961biology	Euceros frigidus	Euceros frigidus	OTT	species	Euceros frigidus	100	3281114		OTT	3281114	Euceros	798200	65294	frigidus	3281114			Euceros frigidus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Eucerotinae								
1923	gauld2002suprageneric	Iseropus	Iseropus	OTT	genus	Iseropus	100	72762	494808	OTT	72762	Iseropus	72762						Iseropus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Pimplinae	Ephialtini							
1924	gauld2002suprageneric	Polysphincta	Polysphincta	OTT	genus	Polysphincta	100	515266	495485	OTT	515266	Polysphincta	515266						Polysphincta	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Pimplinae	Ephialtini							
1925	price1972parasitiods	Lamachus lophyri	Lamachus lophyri	OTT	species	Lamachus lophyri	100	3280676		OTT	3280676	Lamachus	124837	494828	lophyri	3280676			Lamachus lophyri	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Ctenopelmatinae	Mesoleiini							
1926	price1972parasitiods	Olesicampe lophyri	Olesicampe lophyri	OTT	species	Olesicampe lophyri	100	4557672		OTT	4557672	Olesicampe	831731	288177	lophyri	4557672			Olesicampe lophyri	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Campopleginae								
1927	price1972parasitiods	Exenterus amictorius	Exenterus amictorius	OTT	species	Exenterus amictorius	100	835798	494354	OTT	835798	Exenterus	835799	494353	amictorius	835798	494354		Exenterus amictorius	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Tryphoninae	Exenterini							
1928	price1972parasitiods	Exenterus diprionis	Exenterus canadensis	OTT	species	Exenterus diprionis	100	3282003		OTT	3282003	Exenterus	835799	494353	canadensis	3282003			Exenterus canadensis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Tryphoninae	Exenterini							
1929	price1972parasitiods	Gelis urbanus	Gelis urbanus	OTT	species	Gelis urbanus	100	3282533		OTT	3282533	Gelis	452627	172486	urbanus	3282533			Gelis urbanus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Gelina						
1930	price1972parasitiods	Mastrus aciculatus	Mastrus aciculatus	OTT	species	Mastrus aciculatus	100	3282671	1888429	OTT	3282671	Mastrus	920692	274285	aciculatus	3282671	1888429		Mastrus aciculatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Phygadeuontini	Mastrina						
1931	price1972parasitiods	Pleolophus basizonus	Pleolophus basizonus	OTT	species	Pleolophus basizonus	100	4559612	1720809	OTT	4559612	Pleolophus	4559591	1720808	basizonus	4559612	1720809		Pleolophus basizonus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Cryptinae	Hemigastrini							
