genus	original_genus	order	ovary	family	
Hagenomyia	Hagenomya	Neuroptera	PM	Myrmeleontidae
Sisyra	Sisyla	Neuroptera	PM	Sisyridae
Aeshna	Aeschna	Odonata	P	Aeshnidae
Anax	Anax	Odonata	P	Aeshnidae
Cordulia	Cordulia	Odonata	P	Corduliidae
Libellula	Libellula	Odonata	P	Libellulidae
Sympetrum	Sympetrum	Odonata	P	Libellulidae
Locusta	Locusta	Orthoptera	P	Acrididae
Gryllus	Gryllus	Orthoptera	P	Gryllidae
Tachycines	Tachycines	Orthoptera	P	Rhaphidophoridae
Isophya	Isophya	Orthoptera	P	Tettigoniidae
Bacillus	Bacillus	Phasmatodea	P	Bacillidae
Diapheromera	Diapheromera	Phasmatodea	P	Diapheromeridae
Sipyloidea	Sipyloidea	Phasmatodea	P	Diapheromeridae
Carausius	Caracusius	Phasmatodea	P	Phasmatidae
Menacanthus	Eomenacanthus	Phthiraptera	PM	Menoponidae
Pediculus	Pediculus	Phthiraptera	PM	Pediculidae
Nemoura	Nemoura	Plecoptera	P	Nemouridae
Perla	Perla	Plecoptera	P	Perlidae
Peripsocus	Peripsocus	Psocoptera	PM	Peripsocidae
Raphidia	Raphidia	Raphidioptera	TM	Raphidiidae
Nosopsyllus	Nosopsylla	Siphonaptera	P	Ceratophyllidae
Stenoponia	Stenoponia	Siphonaptera	PM	Ctenophthalmidae
Hystrichopsylla	Hystrichopsylla	Siphonaptera	PM	Hystrichopsyllidae
Elenchus	Elenchus	Strepsiptera	Mstar	Elenchidae
Platyphylax	Platyphylax	Trichoptera	PM	Limnephilidae
Stenopsyche	Pasastenopsyche	Trichoptera	PM	Stenopsychidae
Zorotypus	Zorotypus	Zoraptera	P	Zorotypidae
Lepisma	Lepisma	Zygentoma	P	Lepismatidae
Thermobia	Thermobia	Zygentoma	P	Lepismatidae
